Incident_ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,City State,Latitude,Longitude,Cleaned City State,Simplified City State
271363,12/29/2014,Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0,,"New Orleans, Louisiana",30.0687,-89.9288,"New Orleans, Louisiana","New Orleans, Louisiana"
270036,12/27/2014,California,Sacramento,4000 block of May Street,0,4,0,0,0,,"Sacramento, California",38.5677,-121.4685,"Sacramento, California","Sacramento, California"
269679,12/27/2014,California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,,"Los Angeles, California",34.1141,-118.4068,"Los Angeles, California","Los Angeles, California"
269167,12/26/2014,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0,,"East St. Louis, Illinois",38.6244,-90.1508,"East St. Louis, Illinois","East St. Louis, Illinois"
268598,12/24/2014,Missouri,Saint Louis,18th and Pine,1,3,0,0,0,,"Saint Louis, Missouri",38.627,-90.1994,"Saint Louis, Missouri","Saint Louis, Missouri"
267792,12/23/2014,Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,,"Winchester, Kentucky",38.0018,-84.1908,"Winchester, Kentucky","Winchester, Kentucky"
268282,12/22/2014,Michigan,Detroit,Charlevoix St and Philip St,1,3,0,0,0,,"Detroit, Michigan",42.3834,-83.1024,"Detroit, Michigan","Detroit, Michigan"
282186,12/22/2014,New York,Webster,191 Lake Rd,3,2,1,0,0,,"Webster, New York",43.2128,-77.4421,"Webster, New York","Webster, New York"
267721,12/22/2014,Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,,"Chicago, Illinois",41.8375,-87.6866,"Chicago, Illinois","Chicago, Illinois"
266570,12/21/2014,Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,,"Sarasota, Florida",27.3387,-82.5432,"Sarasota, Florida","Sarasota, Florida"
268910,12/21/2014,Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,,"Waynesboro, Mississippi",31.6774,-88.6353,"Waynesboro, Mississippi","Waynesboro, Mississippi"
266424,12/21/2014,Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,,"Calumet City, Illinois",41.6134,-87.5505,"Calumet City, Illinois","Calumet City, Illinois"
266407,12/20/2014,Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1,,"Rockford, Illinois",42.2596,-89.064,"Rockford, Illinois","Rockford, Illinois"
264901,12/16/2014,New Jersey,Elizabeth,Anna Street,0,4,0,0,0,,"Elizabeth, New Jersey",40.6658,-74.1913,"Elizabeth, New Jersey","Elizabeth, New Jersey"
263556,12/15/2014,Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,,"Lansdale, Pennsylvania",40.2417,-75.2812,"Lansdale, Pennsylvania","Lansdale, Pennsylvania"
263376,12/14/2014,Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,,"Miami, Florida",25.784,-80.2101,"Miami, Florida","Miami, Florida"
263382,12/13/2014,Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0,,"Tampa, Florida",27.9945,-82.4447,"Tampa, Florida","Tampa, Florida"
262202,12/12/2014,Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3,,"Portland, Oregon",45.5371,-122.65,"Portland, Oregon","Portland, Oregon"
259935,12/7/2014,Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0,,"South Bend, Indiana",41.6767,-86.2696,"South Bend, Indiana","South Bend, Indiana"
227011,12/2/2014,Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,,"Saint Louis, Missouri",38.627,-90.1994,"Saint Louis, Missouri","Saint Louis, Missouri"
226983,12/2/2014,Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,,"Newport News, Virginia",37.1051,-76.5185,"Newport News, Virginia","Newport News, Virginia"
226534,11/30/2014,Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,,"Chattanooga, Tennessee",35.066,-85.2481,"Chattanooga, Tennessee","Chattanooga, Tennessee"
226388,11/30/2014,New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,,"Brooklyn, New York",40.6501,-73.9496,"Brooklyn, New York","Brooklyn, New York"
226150,11/29/2014,New Jersey,Newark,348 S Orange Ave,1,3,0,0,0,,"Newark, New Jersey",40.7245,-74.1725,"Newark, New Jersey","Newark, New Jersey"
225903,11/29/2014,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0,,"Atlanta, Georgia",33.7628,-84.422,"Atlanta, Georgia","Atlanta, Georgia"
225830,11/28/2014,Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0,,"Memphis, Tennessee",35.1087,-89.9663,"Memphis, Tennessee","Memphis, Tennessee"
226018,11/27/2014,Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,,"Georgetown, Texas",30.666,-97.6966,"Georgetown, Texas","Georgetown, Texas"
225036,11/26/2014,California,San Francisco,Mission and 13th streets,0,6,0,0,0,,"San Francisco, California",37.7558,-122.4449,"San Francisco, California","San Francisco, California"
224362,11/23/2014,Virginia,Parksley,Parksley Road,0,4,0,0,0,,"Parksley, Virginia",37.7863,-75.6539,"Parksley, Virginia","Parksley, Virginia"
224131,11/23/2014,Colorado,Denver,Federal Boulevard and 16th Avenue,1,4,0,0,0,,"Denver, Colorado",39.762,-104.8758,"Denver, Colorado","Denver, Colorado"
223651,11/22/2014,Ohio,Cleveland,1443 E 92nd St,4,1,0,0,1,,"Cleveland, Ohio",41.4764,-81.6805,"Cleveland, Ohio","Cleveland, Ohio"
223799,11/22/2014,South Dakota,Sisseton,Fourth Avenue,3,1,1,0,0,,"Sisseton, South Dakota",45.6625,-97.0454,"Sisseton, South Dakota","Sisseton, South Dakota"
223729,11/22/2014,Ohio,Springfield,Clifton Avenue and Rice Street,1,3,0,0,0,,"Springfield, Ohio",39.93,-83.7959,"Springfield, Ohio","Springfield, Ohio"
223582,11/21/2014,Pennsylvania,Pittsburgh,600 block of Miller Avenue,0,6,0,0,0,,"Pittsburgh, Pennsylvania",40.4397,-79.9763,"Pittsburgh, Pennsylvania","Pittsburgh, Pennsylvania"
222792,11/19/2014,Illinois,Chicago,700 block of North St. Louis Avenue,1,3,0,0,0,,"Chicago, Illinois",41.8375,-87.6866,"Chicago, Illinois","Chicago, Illinois"
222393,11/18/2014,Nevada,North Las Vegas,Englestad Street,0,4,0,0,0,,"North Las Vegas, Nevada",36.2883,-115.0888,"North Las Vegas, Nevada","North Las Vegas, Nevada"
221554,11/16/2014,Ohio,Akron,1891 E Market St,1,4,0,0,1,,"Akron, Ohio",41.0798,-81.5219,"Akron, Ohio","Akron, Ohio"
224746,11/16/2014,Texas,El Paso,115 S. Durango,0,5,0,1,0,,"El Paso, Texas",31.8476,-106.43,"El Paso, Texas","El Paso, Texas"
221347,11/15/2014,Missouri,Springfield,2555 N. Glenstone,4,0,0,0,1,,"Springfield, Missouri",37.1943,-93.2916,"Springfield, Missouri","Springfield, Missouri"
221577,11/15/2014,Florida,Miami,NW 55th and 12th,1,3,0,0,0,,"Miami, Florida",25.784,-80.2101,"Miami, Florida","Miami, Florida"
217831,11/8/2014,California,Pomona,499 E. Arrow Highway,0,5,0,0,0,,"Pomona, California",34.0585,-117.7626,"Pomona, California","Pomona, California"
218054,11/7/2014,California,Los Angeles,East 126th Street and North Compton Avenue,0,4,0,0,0,,"Los Angeles, California",34.1141,-118.4068,"Los Angeles, California","Los Angeles, California"
217401,11/7/2014,California,Compton,136th Street ,0,4,0,0,0,,"Compton, California",33.893,-118.2274,"Compton, California","Compton, California"
216533,11/5/2014,California,San Francisco,1100 block of Alabama Street ,0,4,0,0,0,,"San Francisco, California",37.7558,-122.4449,"San Francisco, California","San Francisco, California"
212884,10/29/2014,Tennessee,Memphis,Yale Road and Ramill Road,0,5,0,0,0,,"Memphis, Tennessee",35.1087,-89.9663,"Memphis, Tennessee","Memphis, Tennessee"
211348,10/26/2014,Kentucky,Cadiz,1410 Old Dover Road,4,0,0,0,1,,"Cadiz, Kentucky",36.8695,-87.8048,"Cadiz, Kentucky","Cadiz, Kentucky"
210363,10/24/2014,Washington,Marysville,5611 108th St NE,4,1,1,0,0,,"Marysville, Washington",48.0809,-122.1561,"Marysville, Washington","Marysville, Washington"
209134,10/18/2014,New York,Queens,33-02 Queens Blvd,0,4,0,0,1,,"Queens, New York",40.7498,-73.7976,"Queens, New York","Queens, New York"
207145,10/18/2014,South Carolina,Graniteville,192 Breezy Hill Road,1,3,0,0,0,,"Graniteville, South Carolina",33.5646,-81.8078,"Graniteville, South Carolina","Graniteville, South Carolina"
207687,10/18/2014,New York,Brooklyn,Lenox Road,0,4,0,0,0,,"Brooklyn, New York",40.6501,-73.9496,"Brooklyn, New York","Brooklyn, New York"
206303,10/16/2014,Michigan,Detroit,Mogul Street,1,3,0,0,1,,"Detroit, Michigan",42.3834,-83.1024,"Detroit, Michigan","Detroit, Michigan"
